Identifier / Formula,Name,rank 1,rank 2,rank 3,rank 4,rank 5,rank 6,rank 7,rank 8,rank 9,rank 10
\vec{v}(t) = \frac{d}{dt} \vec{r}(t) = \frac{d R}{dt} \hat{u}_R(t) + R \frac{d \hat{u}_R}{dt} \ .,velocity (Q11465),Velocity,"Angular velocity is incorrect, hence: Velocity vector",Time derivative of position,Position-time derivative,Dv/dt,v(t),Radial velocity,Differentiation of radius with respect to time,Vector derivative formula,Tangential acceleration
"F_{net} = ma\, \\  F_{net} = ma_r\, \\  F_{net} = \frac{mv^2}{r}\, \\  F_{net} = F_c\,",force (Q11402),Newton's Second Law,Centripetal Force Equation,Net Force Formula,Radial Force Equation,Inertial Mass Formula,Centrifugal Force Equation,Total Acceleration Formula,Gravitational Force Equation,Angular Momentum Formula,Tangential Force Equation
\mathbf{s} = \mathbf{v}t,uniform motion (Q376742),Equation of Motion,Velocity-Time Equation,Kinematic Equation,Position-Time Formula,Relative Displacement Equation,Linear Momentum Equation,Velocity-Dependent Position Equation,Time-Domain Position Equation,Cartesian Coordinate Formula,Galilean Transformation Equation
A =\begin{bmatrix}  \cos \theta  -\sin \theta\\  \sin \theta   \cos \theta\end{bmatrix},rotation (Q107617),Rotation Matrix,Angular Velocity Matrix,Theta Matrix,Rotation Transformation Matrix,Cosine-Sine Matrix,Rotation Operator,Two-Dimensional Rotation Matrix,Rotational Transform Matrix,Orthogonal Rotation Matrix,Matrix Representation of Rotation
"\vec F = -k \vec x,",Hooke's law (Q170282),Hooke's Law,Elastic Force Law,Spring Constant Equation,Hook's Law,Elastic Potential Energy Formula,Force-Displacement Relationship,Spring Equation of Motion,Universal Elasticity Law,Linear Spring Model,Harmonic Oscillator Equation
F = m a = m \frac{\mathrm{d}^2x}{\mathrm{d}t^2} = m\ddot{x} = -k x.,Newton's second law of motion (Q2397319),Newton's Second Law,Hooke's Law,Acceleration Formula,F = ma Equation,Mass-Spring System Equation,Simple Harmonic Motion Equation,Force-Mass-Acceleration Equation,Kinetic Equation,Damped Oscillation Equation,Lagrange's Equation
"x(t) = A \cos(\omega t + \varphi),",Spherical pendulum (Q3299367),D'Alembert's Solution,Cosine Wave Equation,Phasor Representation,Harmonic Oscillator,Fourier Transform,Sine-Gordon Equation,Linear Harmonic Motion,Periodic Function,Plane Wave Equation,Bessel Function
\omega = \sqrt{\frac k m}.,angular frequency (Q834020),Angular Frequency,Natural Frequency,Circular Frequency,Angular Speed,Rotational Velocity,Omega Formula,Gyroscopic Frequency,Spin Frequency,Rotational Speed,Kinematic Inertia
U = \frac 1 2 kx^2.,elastic energy (Q891408),Spring Force Law,Hooke's Law,Elastic Potential Energy Equation,Kinetic Energy of a Spring Formula,Simple Harmonic Motion Equation,Elastic Spring Potential Energy Formula,Hooke's Law for Springs,Spring Constant Equation,Potential Energy in Compression Formula,Elastostatic Energy Equation
"F = - kx - c\frac{\mathrm{d}x}{\mathrm{d}t} = m \frac{\mathrm{d}^2x}{\mathrm{d}t^2},",Newton's second law of motion (Q2397319),Simple Harmonic Motion,Newton's Second Law,Hooke's Law,Damped Oscillation Equation,F = - kx - b \frac{dx}{dt},Mass-Spring System Equation,Generalized Spring-Mass System Equation,Classical Mechanics Equation of Motion,Linearly Damped Harmonic Motion Equation,Second-Order Linear Differential Equation
\omega_0 = \sqrt{\frac k m},angular frequency (Q834020),Angular frequency,Natural frequency,Resonant frequency,Circular frequency,Angular velocity,Oscillation frequency,Fundamental frequency,Periodic frequency,Harmonic frequency,Eigenfrequency
\zeta = \frac{c}{2\sqrt{mk}},damping (Q1127660),Damping Ratio,Critical Damping Coefficient,Zeta Function,Mechanical Impedance,Critically Damped Response,RLC Circuit Damping Factor,Oscillator Damping Coefficient,Mechanical Dampening Coefficient,System Damping Ratio,Mass-Spring-Damper Zeta
F(t)-kx-c\frac{\mathrm{d}x}{\mathrm{d}t}=m\frac{\mathrm{d}^2x}{\mathrm{d}t^2}.,Newton's second law of motion (Q2397319),Euler-Lagrange Equation,Newton's Second Law of Motion,D'Alembert's Principle,Lagrangian Dynamics,Hamilton's Equations,Euler-Cauchy Equation,Newton-Euler Equation,Kirchhoff's Dynamic Equations,Ostrogradsky-Hamilton Equation,Nonholonomic Dynamical System
"z(t) = A \mathrm{e}^{-\zeta \omega_0 t} \sin \left( \sqrt{1 - \zeta^2} \omega_0 t + \varphi \right),",oscillations (N/A),Undamped Oscillator Response,Underdamped Sine Wave Formula,Damped Harmonic Motion Equation,Generalized Sine Wave Solution,Zeta-Damped Sinusoid Expression,Second-Order Linear Differential Equation Solution,Forced Damped Oscillations Formula,Undamped System Response Function,Classical Damping Equation for Sine Waves,Displacement of a Damped Harmonic Oscillator
"x(t) = 1 - \mathrm{e}^{-\zeta \omega_0 t} \frac{\sin \left( \sqrt{1 - \zeta^2} \omega_0 t + \varphi \right)}{\sin(\varphi)},",phase (N/A),Sigmoidal Function,Damped Oscillation Formula,Underdamped Response,Critical Damping Equation,Second-Order System Response,Undamped Natural Frequency Response,Damped Natural Frequency Formula,Exponential Decay Function,Linearly Damped Harmonic Motion,Generalized Sine Wave Equation
Z_m = \sqrt{\left(2\omega_0\zeta\right)^2 + \frac{1}{\omega^2} (\omega_0^2 - \omega^2)^2},mechanical impedance (Q6421317),Damping Ratio,Critical Frequency,Oscillation Amplitude,Modal Frequency,Resonance Width,Damped Natural Frequency,Quadratic Formula,Energy Loss Factor,Structural Vibration Response,Parametric Excitation
\frac{\mathrm{d}^2q}{\mathrm{d} \tau^2} + 2 \zeta \frac{\mathrm{d}q}{\mathrm{d}\tau} + q = 0,equation of motion (N/A),damped oscillator equation,Duffing's equation,van der Pol's equation,Mathieu's equation,Rayleigh's equation,forced pendulum equation,harmonic oscillator equation with damping,second-order differential equation with damping term,Riemann-Liouville equation,linearly damped wave equation
\frac{\mathrm{d}^2q}{\mathrm{d} \tau^2} + 2 \zeta \frac{\mathrm{d}q}{\mathrm{d}\tau} + q = \cos(\omega \tau).,equation of motion (N/A),Duffing Equation,Forced Damped Oscillator Equation,Second-Order Linear Nonhomogeneous Differential Equation,Parametrically Driven Harmonic Oscillator Equation,Zeta-Damped Oscillator Equation,damped oscillator equation with parametric forcing,second order linear differential equation with damping and driving force,driven harmonic oscillator with damping and nonlinearity,2D Harmonic Oscillator Equation in Damping Medium,Forced Linear Oscillator with Viscous Damping
q_t (\tau) = \begin{cases} \mathrm{e}^{-\zeta\tau} \left( c_1 \mathrm{e}^{\tau \sqrt{\zeta^2 - 1}} + c_2 \mathrm{e}^{- \tau \sqrt{\zeta^2 - 1}} \right)  \zeta gt; 1 \text{ (overdamping)} \\ \mathrm{e}^{-\zeta\tau} (c_1+c_2 \tau) = \mathrm{e}^{-\tau}(c_1+c_2 \tau)  \zeta = 1 \text{ (critical damping)} \\ \mathrm{e}^{-\zeta \tau} \left[ c_1 \cos \left(\sqrt{1-\zeta^2} \tau\right) + c_2 \sin\left(\sqrt{1-\zeta^2} \tau\right) \right]  \zeta lt; 1 \text{ (underdamping)}\end{cases},equations of motion (N/A),Qfunction,ODEsolution,CritDamp,UnderdampedResponse,OverdampedDecay,DampedOscillation,GeneralQfunction,CriticalDampingFunction,TransientResponse,UndampedVibration
-\omega^2 A + 2 \zeta \mathrm{i} \omega A + A = \mathrm{e}^{-\mathrm{i} \varphi} = \cos\varphi - \mathrm{i} \sin\varphi.,amplitude (N/A),damped oscillator equation,Duffing's equation,Mathieu equation,Hill's equation,van der Pol oscillator equation,dissipative harmonic motion,forced harmonic motion,Liénard's equation,Rayleigh-Bénard convection,Landau-Lifshitz-Gilbert equation
\frac{d^2\theta}{dt^2} + \frac{g}{l}\sin\theta = 0.,pendulum (Q20702),Simple Pendulum Equation,Linearized Pendulum Equation,Planar Pendulum Equation,Mathieu's Equation,Van der Pol Oscillator,Sine-Gordon Equation,Rotational Motion Equation,Classical Pendulum Equation,Lumped Parameter Model,Rössler Equation
"\theta(t) = \theta_0 \cos\left(\sqrt{\frac{g}{l}} t\right),",period (Q3382125),Simple Pendulum Equation,Pendulum Oscillation Function,Theta Function,Damped Oscillator Equation,Angular Displacement Formula,Pendulum Motion Equation,Lateral Pendulum Model,Rotational Kinematics Equation,Harmonic Oscillator Representation,Parametric Pendulum Equation
"\vec \jmath(t) = \frac{\mathrm{d} \vec a(t)}{\mathrm{d}t} = \frac{\mathrm{d}^2 \vec v(t)}{\mathrm{d}t^2} = \frac{\mathrm{d}^3 \vec r(t)}{\mathrm{d}t^3} ,",jerk (Q497332),Acceleration,Jerk,Derivative Vector,Velocity-Time Relation,First Derivative,Second Derivative,Third Derivative,Eulerian Derivative,Spatial Derivative,Material Derivative
F = m \cdot a,Newton's second law of motion (Q2397319),Newton's Second Law,Force Equation,Momentum-Acceleration Relation,Acceleration-Force Relationship,Inertia Equation,Mass-Acceleration Formula,F = ma (Feynman Notation),Kinetic Impulse Formula,Dynamics Equation,Momentum Conservation Law
\omega(t)=\dot\theta(t)=\frac{\mathrm {d}\theta(t)} {\mathrm {d}t},angular velocity (Q161635),Angular Velocity,Rotational Speed,Angular Frequency,Rotational Rate,Omega Function,Theta Derivative,Rotational Velocity,Dynamic Rotation,Parametric Rotation,Curvature Acceleration
"\alpha(t)=\dot\omega(t)=\frac{\mathrm {d}\omega(t)} {\mathrm {d} t},",angular acceleration (Q186300),Angular Velocity,Rotational Rate,Angular Acceleration,Omega Dot,Alpha of T,Time Derivative of Omega,dΩ/dt,Rotation Speed,Angular Momentum Derivative,ω' (Prime notation for derivative)
"\zeta(t) = \dot {\alpha}(t) =\ddot\omega(t) = \overset{...}{ \theta}(t),",jerk (Q497332),EulerAccelerator,AccelerationOfAlpha,AlphaAcceleration,OmegaAngularVelocity,ThetaDotdot,ZetaFunction,AlphaDerivative,OmegaDoubleDot,AngularAcceleration,TimeDependentParameter
\vec {\alpha}(t) = \frac {\mathrm {d}} {\mathrm {d} t} \vec {\Omega}(t)= \dot {\vec \Omega}(t),angular acceleration (Q186300),Euler's Angle,Angular Momentum Equation,Time-Derivative of Rotation Vector,Rotational Velocity,Body-Fixed Axis Angles,Rotational Kinematics,Angular Acceleration,Dynamic Euler Parameters,Quaternions,Instantaneous Angular Velocity
\vec \zeta(t) = \frac {\mathrm {d}}{\mathrm {d}t}\vec{\alpha}(t)=\dot{\vec\alpha}(t),jerk (Q497332),Acceleration vector,Velocity derivative,Time derivative of position,Alpha dot notation,Vector zeta function,Material derivative,Particle acceleration,Euler-Lagrange equation (though not an exact match),Derivative of alpha with respect to time,Covariant acceleration
"v = \frac{d}{t},",speed (Q3711325),Velocity,Speed,Displacement per time,Rate of change,Derivative of distance over time,Instantaneous velocity,Average speed,Change in position over time,Kinematic equation for velocity,Relative motion rate
"v = \left|\boldsymbol v\right| = \left|\dot {\boldsymbol r}\right| = \left|\frac{d\boldsymbol r}{dt}\right|\,.",speed (Q3711325),Magnitude,Speed,Velocity Modulus,Norm,Euclidean Norm,Absolute Value of Velocity,Vector Magnitude Formula,Velocity Length,"Scalar Triple Product (Note: This might seem unrelated, but it's a common usage in physics)",Pseudo-Speed
v = \frac{ds}{dt}.,speed (Q3711325),Acceleration,Derivative,Instantaneous Velocity,Rate of Change,Speed,Tangent,Velocity Ratio,Differential,Time-Derivative,Secant
"d = \boldsymbol{\bar{v}}t\,.",speed (Q3711325),Displacement,Distance,Average Velocity,Linear Momentum,Position-Time Relation,Mean Velocity Equation,Kinematic Relation,Object's Center of Mass,Instantaneous Velocity Formula,Position-Momentum Relationship
"v \propto \!\, r \omega\,,",tangential velocity (N/A),Kepler's third law,Angular momentum conservation,Moment of inertia relation,Rotational velocity equation,Torque proportional to radius,Orbital period relation,Centrifugal acceleration formula,Rotational energy equation,Inertial moment proportionality,Gyroscopic effect relation
"v = r\omega\,.",tangential velocity (N/A),Angular Momentum,Moment of Inertia,Rotational Kinetic Energy,Polar Moment of Inertia,Centripetal Velocity,Orbital Velocity,Planetary Velocity,Torque Equation,Rotational Inertia,Angular Velocity Magnitude
W = F s \cos{\theta},work (Q42213),Work-Energy Principle,Kinetic Energy,Normal Force Equation,Angular Momentum,Impulse-Momentum Theorem,Torque Formula,Linear Momentum,Newton's Second Law,Momentum Conservation,Rotational Kinematics
W = F s,work (Q42213),Work-Energy Principle,Force-Momentum Equation,Work Energy Theorem,Impulse Momentum Relation,Work Energy Formula,Force-Space Relationship,Work-Energy Identity,"Froude's Law (not a direct match, but related concept)",Work-Efficiency Ratio,Linear Momentum Conservation
"W = \int_C F\,ds",work (Q42213),Stokes' Theorem,Gauss's Law,Magnetic Flux,Vector Potential,Surface Integral,Line Integral,Curl Operator,Divergence Theorem,Electric Flux,Path Independence
"W =  \int_{t_1}^{t_2}\mathbf{F} \cdot \mathbf{v}dt =  \int_{t_1}^{t_2}\mathbf{F} \cdot {\tfrac{d\mathbf{s}}{dt}}dt =\int_C \mathbf{F} \cdot d\mathbf{s},",work (Q42213),Work-Energy Theorem,Energy-Momentum Principle,Line Integral of Force,Conservative Force Theorem,Path Independent Integral,Work Done by a Force,Work-Energy Formula,Euler's Work-Force Law,Virtual Work Principle,Jacobi's Theorem
W = \int_C \mathbf{F} \cdot d\mathbf{s} = Fs\cos\theta.,work (Q42213),Work-Energy Theorem,Line Integral of Force,Path Independence Theorem,Conservative Force Formula,Dot Product Formula,Work Done by a Force,Sine-Cosine Formula,Vector Line Integral,Path-Dependent Function,Kinetic Energy Formula
W = \int_{a}^{b} \mathbf{F(s)} \cdot d\mathbf{s},work (Q42213),Work,Line Integral,Path Integral,Energy,Work-Energy Theorem,Force Integral,Displacement Integral,Path Dependent Integral,Generalized Work Function,Path Integral of a Field
"dW = \mathbf{T}\cdot\vec{\omega}dt,",work (Q42213),Angular Momentum,Torque-Diffential,Moment of Force,Rotational Work,Angular Velocity Dot Product,Moment-Work Theorem,Torque-Rate Formula,Rotational Kinematics Equation,Mechanical Energy Transfer Law,Euler's Kinetic Moment
W =  \int_{t_1}^{t_2}\mathbf{T}\cdot\vec{\omega}dt.,work (Q42213),Work Done,Torque Integral,Rotational Energy,Kinetic Energy,Angular Momentum,Mechanical Work,Rotational Work,Torque-Energy Integral,Angular Work Done,Rotational Power
"\mathbf{T}=\tau\mathbf{S},",torque (Q48103),StressTensor,CauchyStressTensor,TensileStressTensor,ShearStressTensor,MaterialStressTensor,LinearStressTensor,StressTransformMatrix,StressTensorTransformation,TauStressRelation,ConstitutiveStressTensor
W=Fs = Fr\phi .,work (Q42213),Euler's Identity,Trigonometric Identity,Friction Coefficient Equation,Work-Energy Principle,Angular Momentum Conservation Law,Torque Formula,Rotational Kinematics Equation,Normal Force Equation,Moment of Inertia Formula,Newton's Second Law for Rotation
"W = \int_C \mathbf{F} \cdot d\mathbf{x} =  \int_{t_1}^{t_2}\mathbf{F}\cdot \mathbf{v}dt,",work (Q42213),Line Integral,Work-Energy Theorem,Path Integral,Work Done Formula,Conservative Force Law,Path-Dependent Integral,Vector Potential Integral,Work-Energy Principle,Path Integral Theorem,Circulation Integral
W = \int_C \mathbf{F} \cdot \mathrm{d}\mathbf{x} =  \int_{\mathbf{x}(t_1)}^{\mathbf{x}(t_2)} \mathbf{F} \cdot \mathrm{d}\mathbf{x} =  U(\mathbf{x}(t_1))-U(\mathbf{x}(t_2)).,work (Q42213),Work-Energy Theorem,Line Integral Formula,Conservative Force Law,Path Independence Principle,Work Done Formula,Energy Conservation Equation,Line Integral of a Field,Potential Energy Difference Formula,Conservative System Law,Generalized Work-Energy Theorem
"\nabla W =  -\nabla U= -\left(\frac{\partial U}{\partial x}, \frac{\partial U}{\partial y}, \frac{\partial U}{\partial z}\right) = \mathbf{F},",force (Q11402),Gradient,Potential Gradient,Electric Field,Conservative Vector Field,Negative Gradient Operator,Divergence Theorem,Hamiltonian Gradient,Euler-Lagrange Equation,Harmonic Function Gradient,Covariant Derivative
P(t) = -\nabla U \cdot \mathbf{v} = \mathbf{F}\cdot\mathbf{v}.,power (Q25342),Work-Energy Theorem,Impulse-Momentum Theorem,Power Theorem,Force-Velocity Product,Linear Momentum Equation,Energy-Momentum Equation,Kinetic Energy Rate Formula,Mechanical Energy Principle,Newton's Impact Theorem,Dot Product Formulation
W = F_g (y_2 - y_1) = F_g\Delta y = - mg\Delta y,work (Q42213),Gravitational Force,Weight Difference Formula,Falling Object Equation,Delta-y Force Calculation,Acceleration Due to Gravity Formula,Weight Variation Formula,Height Change Force Formula,Weight Loss Formula,Vertical Displacement Force,Geodesic Force Law
"\mathbf{F}=-\frac{GMm}{r^3}\mathbf{r},",force (Q11402),Newton's Law of Universal Gravitation,Gravitational Force Formula,Coulomb's Constant Formula,Gravity Vector Formula,Planetary Motion Equation,Kepler's Third Law Formula,Gravitational Potential Energy,Universal Gravitation Law,Inverse Square Law Formula,Gravitational Force Equation
"U=-\frac{GMm}{r},",gravitational potential (N/A),Newton's Law of Universal Gravitation,Kepler's Third Law (inverse),Gravitational Force Equation,Planetary Orbits Formula,GM Formulation,Orbital Mechanics Formula,Gravity Potential Energy,Two-Body Problem Solution,r-dependent Force Law,Schwarzschild Radius Formula
W=-\int^{\mathbf{r}(t_2)}_{\mathbf{r}(t_1)}\frac{GMm}{r^3}\mathbf{r}\cdot d\mathbf{r}=-\int^{t_2}_{t_1}\frac{GMm}{r^3}\mathbf{r}\cdot\mathbf{v}dt.,work (Q42213),Kepler's Third Law,Gauss' Formulation,Lagrange's Formula,Energy Loss Integral,Orbital Angular Momentum Equation,Gravitational Work-Energy Theorem,Planetary Motion Equation,Hamiltonian Principle,Rutherford's Equation,Conservation of Mechanical Energy
W=\int_0^t\mathbf{F}\cdot\mathbf{v}dt =-\int_0^tkx v_x dt = -\frac{1}{2}kx^2.,work (Q42213),Work-Energy Theorem,Kinetic Energy Formula,Force-Dot-Velocity Integral,Potential Energy Equation,Quadratic Potential,Harmonic Oscillator Energy,Conservative Force Formula,Mechanical Energy Relationship,Newtonian Potential Energy,Hamilton's Principle
W=\int_a^b{P}dV,work (Q42213),Work-Energy Theorem,P-V Integral,Pressure-Volume Work,First Law of Thermodynamics,Work Done by a Gas,PV Product Rule,Euler's Integral Formula,Volume-Specific Work,Compressible Flow Work,Helmholtz Free Energy
W=\Delta E_k=\tfrac12mv_2^2-\tfrac12mv_1^2,work (Q42213),Kinetic Energy,Change in Kinetic Energy,Momentum Transfer,Impulse-Momentum Theorem,Conservation of Kinetic Energy,Kinetic Work-Energy Principle,ΔEk Formula,Kinetic Impact Equation,Energy-Change Formula,Mechanical Energy Conservation
F = M g.,gravitational force (Q11412),Newton's Second Law,Force Equation,Mass-Force Relation,Gravitational Force Law,Momentum Conservation,Weight-Mass Relationship,F = ma (Simplified Form),Inertial Force Expression,Dynamics Formula,Acceleration-Mass Coupling
F = m a.,Newton's second law of motion (Q2397319),Newton's Second Law (Likelihood: 0.95),Law of Acceleration (Likelihood: 0.85),Second Law of Motion (Likelihood: 0.80),Fnet = ma (Likelihood: 0.75),Force-Mass-Acceleration Equation (Likelihood: 0.70),Acceleration-Force Formula (Likelihood: 0.65),Mass-Acceleration Relationship (Likelihood: 0.60),Newton's Second Formula (Likelihood: 0.55),Force and Acceleration Formula (Likelihood: 0.50),Momentum Equation (Likelihood: 0.45)
a=\frac{M}{m}g.,gravitational acceleration (Q30006),Universal Gravitational Constant (UGC),Surface Acceleration Factor (SAF),Mass Ratio Acceleration (MRA),Gravitational Acceleration Coefficient (GAC),Planetary Gravitational Scale (PGS),Mass-Dependent Acceleration (MDA),Standard Gravitational Acceleration (SGA),Orbital Acceleration Factor (OAF),Celestial Body Acceleration (CBA),Field-Mass Acceleration Ratio (FMAR)
\mu=4\pi^2\frac{\text{distance}^3}{\text{time}^2}\propto\text{gravitational mass},free fall (Q140028),Kepler's Law,Gravitational Acceleration Formula,Newton's Law of Universal Gravitation,Orbital Velocity Equation,Gravitomagnetism Formula,Rotational Kinematics Formula,Mass-Gravity Relationship,Planetary Motion Equation,Keplerian Element Formula,Gravitational Force Law
1.2\pi^2\cdot10^{-5}\frac{\text{AU}^3}{\text{y}^2}=3.986\cdot10^{14}\frac{\text{m}^3}{\text{s}^2},acceleration (Q11376),Gravitational Constant,Standard Gravity Parameter,Planetary Mass Formula,Orbital Velocity Equation,Celestial Body Radius,Solar System Unit Conversion,Newtonian Gravity Coefficient,Terrestrial Surface Acceleration,Geopotential Model Parameterization,Keplerian Orbital Elements
\mathbf{g}=-\mu\frac{\hat{\mathbf{R}}}{|\mathbf{R}|^2},gravitational acceleration (Q30006),Gravity Equation,Drag Coefficient Formula,Radial Acceleration Law,Orbital Deceleration,Gravitational Force Law,Centripetal Acceleration Formula,Mu-Radial Field Equations,Rotational Motion Equation,Inertial Frame Lagrangean,Spatial Gradient Formula
\mathbf{F}_{\text{AB}}=-GM_{\text{A}}M_{\text{B}}\frac{\hat{\mathbf{R}}_{\text{AB}}}{|\mathbf{R}_{\text{AB}}|^2}\,gravitational force (Q11412),Gravitational Force,Newtonian Gravity Formula,Universal Law of Gravitation,Gravitational Attraction,Gravitational Pull,Coulomb's Law (in classical mechanics context),Gravitomagnetic Field,Mass-Radius Gravitational Formula,Einstein's Gravitational Formula,Lorentz Transformation of Gravity
F=Mg,Newton's second law of motion (Q2397319),Newton's Law,Weight Formula,Force Equation,Mass Formula,Gravitational Pull,Merton's Law,Falling Object Formula,Weight Calculation Formula,Simple Harmonics Law,Equations of Motion
"\mathbf{F}=m \mathbf{a},",Newton's second law (N/A),Newton's Second Law,FMA (Force-Mass-Acceleration),Equation of Motion,Newton's Law,Inertia-Equivalence Principle,Mass-Acceleration Relation,Momentum- Acceleration Relationship,Force-Law of Acceleration,Kinematic-Dynamic Equivalence,Acceleration-Mass Theorem
"\mathbf{F_{12}}  =m_1\mathbf{a}_1,\\\mathbf{F_{21}}  =m_2\mathbf{a}_2,",Newton' s second law (N/A),Newton's Third Law,Action Reaction Forces,Force Couple Equations,Mass Acceleration Formulas,F12 and F21 Equations,Newtonian Dynamics Equations,Action Reaction Principle,Mass Force Equations,Classical Mechanics Formulas,Linear Momentum Equations
\mathbf{F}_{12}=-\mathbf{F}_{21};,Newton's third law of motion (Q3235565),Newton's Third Law,Action-Reaction Pair,Force Balance Equation,Interactional Forces,F_12 Formula,Reaction-Action Principle,3rd Law of Motion,Dynamic Equilibrium,Inverse Force Relationship,Fundamental Forces
\mathbf{p}=m\mathbf{v},momentum (Q41273),Momentum,Linear momentum,Mechanical momentum,Mass-velocity product,Momentum equation,Classical momentum,Translational momentum,Kinetic momentum,Dynamical momentum,Inertial momentum
K=\dfrac{1}{2}m|\mathbf{v}|^2,kinetic energy (Q46276),Kinetic Energy (KE),Momentum (M),Velocity Squared (V2),Mass (m),Potential Energy (PE),Total Energy (E),Mechanical Energy (ME),Relativistic Kinetic Energy (RKE),Generalized Kinetic Energy (GKE),Hamiltonian Kinetic Energy (HKE)
\gamma = \frac{1}{\sqrt{1 - v^2/c^2}},Lorentz factor (Q599404),Lorentz Factor,Gamma Function,Relativistic Correction Factor,Velocity Factor,Lorentz Transformation Factor,Lorentzian,Special Relativity Factor,Time Dilation Factor,Beta Function,Riemann Metric
(m_\mathrm{rest})c^2=\sqrt{E_\mathrm{total}^2-(|\mathbf{p}|c)^2}.\!,rest mass (Q96941619),Einstein,Relativity,MassEnergyEquivalence,E=mc^2,RestMassEnergyEquation,TotalEnergyRelation,MomentumEnergyDuality,SpecialRelativityFormula,EnergyMomentumEquation,PlanckEnergyEquation
E_\mathrm{rest}=(m_\mathrm{rest})c^2\!,rest energy (Q11663629),Mass-energy equivalence,Einstein mass-energy equivalence,Rest energy,Invariant mass energy,Relativistic rest energy,Energy-mass relation,E=mc^2,Einstein's energy equation,Total energy,Kinetic energy correction
E_\mathrm{total}=(m_\mathrm{relative})c^2\!,mass-energy equivalence (Q35875),Mass-Energy Equivalence,Einstein Equation,Energy-Mass Relation,Special Relativity Equation,E=mc²,Total Energy Equation,Relative Mass Formula,C² Mass-Energy Relationship,Kinetic-Energy-Conservation Law,Energy-Conservation Principle
"\frac{\mathrm{d}}{\mathrm{d}t} \ \left( \, \frac{\partial L}{\partial \dot{x}_i} \, \right) \ = \ m \, \ddot{x}_i",operator (Q2597952),Euler-Lagrange Equation,Lagrangian Mechanics Formula,Noether's Theorem Derivative,Hamilton's Principle Application,Newton-Euler Equations Extension,D'Alembert's Principle Variation,Symmetry of Action Function,Conservation Law Derivation,Hamiltonian Dynamics Equation,Liouville's Equation Reduction
"i\hbar\frac{\partial}{\partial t} \Psi(\mathbf{r},\,t) =  \left(-\frac{\hbar^2}{2m}\nabla^2 + V(\mathbf{r})\right)\Psi(\mathbf{r},\,t)",Dirac equation (Q272621),Schrodinger Equation,Time-Dependent SE,TDSE,Hamilton-Jacobi-Schrodinger Equation,One-Dimensional SE,Quantum Mechanical Equation,Wave Function Equation,Klein-Gordon Equation ( alternative),Dirac Equation (alternative),TISE
"(-i\gamma^\mu\partial_\mu + m) \psi = 0\,",Dirac equation in curved spacetime (Q16853908),Dirac Equation,Klein-Gordon Equation,Schrodinger Equation,Wave Equation,Relativistic Wave Equation,Quantized Dirac Field,Free Dirac Field,Massless Dirac Equation,Spinor Equation,Quantum Field Theory
E^2 = p^2c^2 + m^2c^4 \;,energy-momentum relation (N/A),Einstein Field Equation,Energy-Momentum Equivalence,Relativity Formula,Mass-Energy Equivalence Principle,E=mc^2 Simplification,Special Relativity Relation,Momentum-Energy Conservation,Lorentz Factor Derivation,Invariant Mass Formula,Dirac Equation Extension
G_{\psi} \overline{\psi} \phi \psi,tachyons (N/A),Yukawa Coupling,Fermi Interaction,Gauge Boson Coupling,Higgs Coupling,Scalar-Tensor Coupling,Dirac Lagrangian,Electroweak Lagrangian,Yukawa Potential,Scalar-Vector Coupling,Minimal Coupling
"M\left[\mathbf{r}(t),\mathbf{\dot{r}}(t),\mathbf{\ddot{r}}(t),t\right]=0\,,",differential equation (N/A),Euler-Lagrange Equation,Lagrangian Mechanics Equation,D'Alembert's Principle Equation,Hamilton's Principle Equation,Equations of Motion for a Particle in Curved Space-Time,Geodesic Equation,Maupertuis' Principle Equation,Jacobi's Integral Equation,Ostrogradsky's Equation,Variational Principle Equation
"\mathbf{r}(0) \,, \quad \mathbf{\dot{r}}(0) \,.",initial conditions (N/A),Initial Conditions,Boundary Conditions,State Variables,Position Vector,Velocity Vector,Initial State,Phase Space Coordinates,R0 Notation,Inital Configuration,Kinematic Constraints
"\mathbf{v} = \frac{d \mathbf{r}}{d t} \,, \quad \mathbf{a} = \frac{d \mathbf{v}}{d t} = \frac{d^2 \mathbf{r}}{d t^2} \,\!",definitions (N/A),Velocity,Acceleration,Derivative of Position with Respect to Time,Second Derivative of Position with Respect to Time,Instantaneous Velocity,Instantaneous Acceleration,Tangential Acceleration,Radial Acceleration,Kinematic Equations,Newton-Euler Equations
"\boldsymbol{\theta} = \theta \hat{\mathbf{n}} \,,\quad  \boldsymbol{\omega} = \frac{d \boldsymbol{\theta}}{d t} \,, \quad \boldsymbol{\alpha}= \frac{d \boldsymbol{\omega}}{d t} \,,",rotation (Q107617),Angular velocity,Euler's equation,Rotational dynamics formula,Torque equation,Rotational kinematics,Angular acceleration,Rotational motion,Rigid body rotation,Angular momentum equation,Classical mechanics formula
"\mathbf{v} = \boldsymbol{\omega}\times \mathbf{r} \,\!",velocity (Q11465),Angular Momentum Vector,Cross Product Formula,Torque Equation,Rotor Field,Moment of Inertia Vector,Curl Product Rule,Rotational Force Vector,Bivector Multiplication,Triple Product Identity,Pseudovector Cross Product
v  = at+v_0 \quad [1]\\,velocity (Q11465),Equation of Motion,Kinematic Equation,Uniform Acceleration Formula,Velocity-Time Equation,Second Equation of Motion,Constant Acceleration Equation,v = at + u,Galilean Equation,Newton-Euler Equation,Linear Kinematics Formula
